2026-09-11 18:58:41,166 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: dashboard, Método: GET
2026-09-11 18:58:41,208 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: login, Método: GET
2026-09-11 18:58:41,377 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: static, Método: GET
2026-09-11 18:58:41,395 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: static, Método: GET
2026-09-11 18:58:41,403 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: static, Método: GET
2026-09-11 18:59:04,266 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: gw_proxy, Método: GET
2026-09-11 18:59:16,881 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: login, Método: GET
2026-09-11 19:04:36,911 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: login, Método: GET
2026-09-11 19:04:37,014 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: static, Método: GET
2026-09-11 19:04:37,035 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: static, Método: GET
2026-09-11 19:04:37,062 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: static, Método: GET
2026-09-11 19:05:25,491 - ACESSO - IP: 192.168.0.13, Usuário: Não autenticado, Endpoint: login, Método: POST
2026-09-11 19:05:25,766 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: dashboard, Método: GET
2026-09-11 19:05:25,935 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:05:25,941 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:05:25,955 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:05:25,956 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:05:25,973 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:05:25,975 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:05:25,979 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:05:25,986 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:05:25,992 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:05:26,170 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:05:26,174 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:05:26,182 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_unread, Método: GET
2026-09-11 19:05:26,195 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:05:26,205 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: get_chart_data, Método: GET
2026-09-11 19:05:26,811 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: None, Método: GET
2026-09-11 19:05:28,552 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: settings, Método: GET
2026-09-11 19:05:28,732 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:05:28,765 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: mfa_status, Método: GET
2026-09-11 19:05:28,799 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: static, Método: GET
2026-09-11 19:05:28,808 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:05:28,818 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_unread, Método: GET
2026-09-11 19:05:36,075 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: sync_now, Método: POST
2026-09-11 19:05:38,129 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: sync_status, Método: GET
2026-09-11 19:05:40,128 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: sync_status, Método: GET
2026-09-11 19:05:40,396 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: assistant_models, Método: POST
2026-09-11 19:05:41,234 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: gw_proxy, Método: GET
2026-09-11 19:05:41,253 - ACESSO - IP: 127.0.0.1, Usuário: admin, Endpoint: notifications.api_rules_list, Método: GET
2026-09-11 19:05:42,128 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: sync_status, Método: GET
2026-09-11 19:05:44,131 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: sync_status, Método: GET
2026-09-11 19:05:46,212 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: sync_status, Método: GET
2026-09-11 19:05:48,156 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: sync_status, Método: GET
2026-09-11 19:05:50,157 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: sync_status, Método: GET
2026-09-11 19:05:52,159 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: sync_status, Método: GET
2026-09-11 19:05:54,158 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: sync_status, Método: GET
2026-09-11 19:05:56,156 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: sync_status, Método: GET
2026-09-11 19:05:58,161 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: sync_status, Método: GET
2026-09-11 19:06:00,161 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: sync_status, Método: GET
2026-09-11 19:06:02,161 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: sync_status, Método: GET
2026-09-11 19:06:04,162 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: sync_status, Método: GET
2026-09-11 19:06:06,161 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: sync_status, Método: GET
2026-09-11 19:06:08,161 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: sync_status, Método: GET
2026-09-11 19:06:08,168 - ACESSO - IP: 192.168.0.13, Usuário: admin, Endpoint: assistant_models, Método: POST
